Name,AUID,Coords,Const,Type,Period,Mag,Revised
"TIC 234773935","000-BPN-199","06 30 00.05 +04 36 11.2","Mon","ELL","2.278","10.14 (0.007)TESS V","2023-01-12 16:15 UTC"
"CPD-48 8574","000-BPR-919","16 34 05.03 -48 56 22.5","Nor","EB","3.756045","11.21 - 11.28 V","2023-10-20 22:06 UTC"
"MaCoMP_V4","000-BPH-811","01 35 23.37 +15 35 45.6","Psc","ELL","0.973454","14.10 - 14.15 r","2022-03-29 13:16 UTC"
"MaCoMP_V18","000-BPK-984","18 20 05.44 -16 16 12.9","Sgr","EW","0.274153","16.55 - 16.69 r","2022-08-22 15:55 UTC"
"MaCoMP_V19","000-BPL-886","18 24 29.56 -16 08 39.4","Sgr","EW","0.2326346","16.06 - 16.14 r","2022-11-04 22:29 UTC"
"2MASS J18240455-1517025","000-BPS-042","18 24 04.55 -15 17 02.6","Sct","EA","4.422091","16.49 - 17.6 r","2023-10-31 04:56 UTC"
"MaCoMP_V5","000-BPH-828","18 20 05.48 -13 57 11.8","Ser","EW","0.28652","15.96 - 16.10 r","2022-03-31 08:20 UTC"
"MaCoMP_V6","000-BPH-829","18 19 35.81 -13 26 02.1","Ser","DSCT","0.15797557","13.13 - 13.22 V","2022-03-31 08:22 UTC"
"2MASS J05472995+2820322","000-BPR-608","05 47 29.95 +28 20 32.2","Tau","EA","3.444754","15.34 - 15.69 r","2023-09-28 18:52 UTC"
"MaCoMP_V16","000-BPJ-451","03 43 33.10 +23 33 34.0","Tau","EW","0.33253","16.52 - 16.63 r","2022-05-10 14:22 UTC"
"Sur-MC-3","000-BPM-479","05 27 00.05 +23 02 05.2","Tau","EW","0.314784","16.55 - 16.69 r","2022-11-24 19:21 UTC"
"WISEA J021422.71+345421.6","000-BQB-315","02 14 22.70 +34 54 22.6","Tri","EA","8.26292","8.93 - 9.19 V","2024-12-05 15:48 UTC"
"SN 2023ixf","000-BPQ-019","14 03 38.58 +54 18 42.1","UMa","SN II-L","--","11.0 - <22 V","2023-07-17 14:15 UTC"
"17 Vul","000-BPL-808","20 06 53.41 +23 36 51.9","Vul","BCEP","0.386972","5.07 (0.011)TESS V","2022-11-03 15:14 UTC"
"HD 345723","000-BPM-696","20 06 51.33 +22 39 51.7","Vul","RS","0.8039","9.76 (0.006)TESS V","2022-12-07 22:05 UTC"
"MaGiV-1","000-BPL-108","19 52 19.13 +23 29 59.7","Vul","ELL+ELL:","4.27","10.22 (0.007)TESS V","2023-02-17 20:54 UTC"
